"Year","District","Trespass","Theft","Battery","Narcotics","Assualt","Robbery","OtherOffense","Deceptive","CriminalDmg","Burglary","SexOffense","Weapons","Kidnapping","Interference","SexAssualt","VehicleTheft","Prostitution","Arson","PublicPeace","ChildrenOffense","Liquor","Intimidation","Stalking","Gambling","NonCriminal","Obscenity","PublicIndecency","Narcotic","Homicide","CCViolation","Trafficking","Ritualism","Domestic","Total"
2009,"District 18",894,6969,1983,756,472,403,568,1270,1363,451,35,42,7,31,36,357,260,6,71,23,48,6,5,10,0,2,1,0,2,0,0,0,0,16071
2009,"District 7",546,3265,5185,2910,1594,1190,1215,384,2807,1836,54,413,15,32,117,934,391,48,160,146,15,12,7,58,0,1,1,0,44,0,0,0,0,23380
2009,"District 25",378,4724,4282,2394,1456,1087,1857,722,3072,1827,69,256,29,46,72,1532,539,71,221,192,64,8,3,44,0,0,0,1,19,0,0,0,0,24965
2009,"District 6",579,3534,4382,2856,1519,1438,1516,746,2614,1955,54,332,18,39,94,930,224,33,168,170,21,11,12,60,0,0,1,0,35,0,0,0,0,23341
2009,"District 5",463,2571,3918,1848,1377,693,1219,358,2323,1507,52,289,20,39,81,732,118,31,110,149,10,11,10,47,0,0,0,0,21,0,0,0,0,17997
2009,"District 4",483,3354,4292,2839,1687,961,1618,637,3018,2000,55,304,15,29,97,868,201,41,183,224,23,22,17,30,0,0,1,0,41,0,0,0,0,23040
2009,"District 24",425,2546,1991,1097,651,534,901,495,1536,786,52,74,11,22,49,374,41,13,92,78,32,6,11,23,0,1,1,1,4,0,0,0,0,11847
2009,"District 16",332,3201,1909,746,606,242,1648,715,2338,882,43,60,14,4,30,506,12,16,80,111,33,10,7,3,0,0,0,1,2,0,0,0,0,13551
2009,"District 3",794,2821,4247,2228,1341,1124,1496,542,2354,1792,49,298,11,43,96,725,86,18,173,173,24,20,5,59,0,0,0,0,26,0,0,0,0,20545
2009,"District 20",190,1675,1076,412,322,171,469,356,804,373,23,26,0,3,20,246,6,5,64,27,16,4,2,4,0,0,0,0,1,0,0,0,0,6295
2009,"District 17",240,2848,1749,695,521,344,780,426,1878,957,58,63,10,9,36,711,32,26,101,79,47,6,10,6,0,0,0,0,13,0,0,0,0,11645
2009,"District 9",502,3442,3479,2442,1256,568,1112,458,2611,1275,115,311,14,35,78,869,193,50,283,156,65,14,6,29,0,3,1,0,24,0,0,0,0,19391
2009,"District 2",692,3365,3069,1741,1061,743,1174,518,1664,1095,50,153,12,16,64,682,346,9,63,95,19,11,8,68,0,1,0,0,22,0,0,0,0,16741
2009,"District 19",478,6261,2003,876,599,519,868,1104,2061,1164,88,44,5,17,70,583,56,5,114,56,47,11,7,6,0,2,1,0,3,0,0,0,0,17048
2009,"District 1",1097,5976,1196,731,533,393,791,1132,723,196,38,30,2,11,21,232,86,2,126,28,18,12,4,7,0,1,1,0,3,0,0,0,0,13390
2009,"District 15",385,1898,3655,4803,1049,819,1166,335,1440,859,33,192,6,44,79,452,189,28,133,97,20,3,4,204,0,1,0,0,29,0,0,0,0,17923
